0,Paid,2014-01-01 12:00:00 AM,2014-01-31 12:00:00 AM,161,2014-01-31 12:00:00 AM,0
1,Paid,2014-02-01 12:00:00 AM,2014-02-28 12:00:00 AM,161,2014-02-28 12:00:00 AM,0
2,Paid,2014-03-01 12:00:00 AM,2014-03-31 12:00:00 AM,40,2014-03-31 12:00:00 AM,0
3,Paid,2014-04-01 12:00:00 AM,2014-04-30 12:00:00 AM,122,2014-04-30 12:00:00 AM,0
4,Paid,2014-05-01 12:00:00 AM,2014-05-31 12:00:00 AM,23,2014-05-31 12:00:00 AM,0
5,Paid,2014-06-01 12:00:00 AM,2014-06-30 12:00:00 AM,54,2014-06-30 12:00:00 AM,0
6,Paid,2014-07-01 12:00:00 AM,2014-07-31 12:00:00 AM,135,2014-07-31 12:00:00 AM,0
7,Paid,2014-08-01 12:00:00 AM,2014-08-31 12:00:00 AM,58,2014-08-31 12:00:00 AM,0
8,Paid,2014-09-01 12:00:00 AM,2014-09-30 12:00:00 AM,184,2014-09-30 12:00:00 AM,0
9,Paid,2014-10-01 12:00:00 AM,2014-10-31 12:00:00 AM,72,2014-10-31 12:00:00 AM,0
10,Paid,2014-11-01 12:00:00 AM,2014-11-30 12:00:00 AM,249,2014-11-30 12:00:00 AM,0
11,Paid,2014-01-01 12:00:00 AM,2014-01-31 12:00:00 AM,102,2014-01-31 12:00:00 AM,1
12,Paid,2014-02-01 12:00:00 AM,2014-02-28 12:00:00 AM,16,2014-02-28 12:00:00 AM,1
13,Paid,2014-03-01 12:00:00 AM,2014-03-31 12:00:00 AM,171,2014-03-31 12:00:00 AM,1
14,Paid,2014-04-01 12:00:00 AM,2014-04-30 12:00:00 AM,221,2014-04-30 12:00:00 AM,1
15,Paid,2014-05-01 12:00:00 AM,2014-05-31 12:00:00 AM,273,2014-05-31 12:00:00 AM,1
16,Paid,2014-06-01 12:00:00 AM,2014-06-30 12:00:00 AM,269,2014-06-30 12:00:00 AM,1
17,Paid,2014-07-01 12:00:00 AM,2014-07-31 12:00:00 AM,174,2014-07-31 12:00:00 AM,1
18,Paid,2014-08-01 12:00:00 AM,2014-08-31 12:00:00 AM,247,2014-08-31 12:00:00 AM,1
19,Paid,2014-09-01 12:00:00 AM,2014-09-30 12:00:00 AM,215,2014-09-30 12:00:00 AM,1
20,Paid,2014-10-01 12:00:00 AM,2014-10-31 12:00:00 AM,74,2014-10-31 12:00:00 AM,1
21,Paid,2014-11-01 12:00:00 AM,2014-11-30 12:00:00 AM,51,2014-11-30 12:00:00 AM,1
22,Paid,2014-01-01 12:00:00 AM,2014-01-31 12:00:00 AM,224,2014-01-31 12:00:00 AM,2
23,Paid,2014-02-01 12:00:00 AM,2014-02-28 12:00:00 AM,245,2014-02-28 12:00:00 AM,2
24,Paid,2014-03-01 12:00:00 AM,2014-03-31 12:00:00 AM,44,2014-03-31 12:00:00 AM,2
25,Paid,2014-04-01 12:00:00 AM,2014-04-30 12:00:00 AM,291,2014-04-30 12:00:00 AM,2
26,Paid,2014-05-01 12:00:00 AM,2014-05-31 12:00:00 AM,49,2014-05-31 12:00:00 AM,2
27,Paid,2014-06-01 12:00:00 AM,2014-06-30 12:00:00 AM,165,2014-06-30 12:00:00 AM,2
28,Paid,2014-07-01 12:00:00 AM,2014-07-31 12:00:00 AM,94,2014-07-31 12:00:00 AM,2
29,Paid,2014-08-01 12:00:00 AM,2014-08-31 12:00:00 AM,169,2014-08-31 12:00:00 AM,2
30,Paid,2014-09-01 12:00:00 AM,2014-09-30 12:00:00 AM,265,2014-09-30 12:00:00 AM,2
31,Paid,2014-10-01 12:00:00 AM,2014-10-31 12:00:00 AM,203,2014-10-31 12:00:00 AM,2
32,Paid,2014-11-01 12:00:00 AM,2014-11-30 12:00:00 AM,147,2014-11-30 12:00:00 AM,2
33,Paid,2014-01-01 12:00:00 AM,2014-01-31 12:00:00 AM,67,2014-01-31 12:00:00 AM,3
34,Paid,2014-02-01 12:00:00 AM,2014-02-28 12:00:00 AM,22,2014-02-28 12:00:00 AM,3
35,Paid,2014-03-01 12:00:00 AM,2014-03-31 12:00:00 AM,160,2014-03-31 12:00:00 AM,3
36,Paid,2014-04-01 12:00:00 AM,2014-04-30 12:00:00 AM,154,2014-04-30 12:00:00 AM,3
37,Paid,2014-05-01 12:00:00 AM,2014-05-31 12:00:00 AM,60,2014-05-31 12:00:00 AM,3
38,Paid,2014-06-01 12:00:00 AM,2014-06-30 12:00:00 AM,247,2014-06-30 12:00:00 AM,3
39,Paid,2014-07-01 12:00:00 AM,2014-07-31 12:00:00 AM,53,2014-07-31 12:00:00 AM,3
40,Paid,2014-08-01 12:00:00 AM,2014-08-31 12:00:00 AM,234,2014-08-31 12:00:00 AM,3
41,Paid,2014-09-01 12:00:00 AM,2014-09-30 12:00:00 AM,268,2014-09-30 12:00:00 AM,3
42,Paid,2014-10-01 12:00:00 AM,2014-10-31 12:00:00 AM,233,2014-10-31 12:00:00 AM,3
43,Paid,2014-11-01 12:00:00 AM,2014-11-30 12:00:00 AM,49,2014-11-30 12:00:00 AM,3
44,Paid,2014-01-01 12:00:00 AM,2014-01-31 12:00:00 AM,231,2014-01-31 12:00:00 AM,4
45,Paid,2014-02-01 12:00:00 AM,2014-02-28 12:00:00 AM,187,2014-02-28 12:00:00 AM,4
